Layer,Name,GEOID,Population,Longitude,Latitude,PMC_2011,PMC_2012,PMC_2013,PMC_2014,PMC_2015,PMC_2016,PMC_2017,PMC_2018,PMC_2019,PMC_2020
Census tract,Tract 1912,17031191200,3810,-87.7608269,41.9201432,12.439474,12.05352923,11.47611836,13.00361014,9.904114754,9.509927671,10.46090027,10.46090027,10.02212411,9.222223224
Census tract,Tract 1913.01,17031191301,5214,-87.7802655,41.9201522,12.464379,12.0597541,11.45495068,12.99246466,9.926827049,9.54215589,10.50225616,10.50225616,10.06159014,9.238634973
Census tract,Tract 1913.02,17031191302,4940,-87.7705334,41.9202289,12.488202,12.05362951,11.47322356,12.9998463,9.916086339,9.529132603,10.48324,10.48324,10.03781178,9.226829781
Census tract,Tract 2001,17031200100,4118,-87.7376226,41.9350552,12.434522,11.98954945,11.43393014,12.95651178,9.82477377,9.425737808,10.32820904,10.32820904,9.925531781,9.123348907
Census tract,Tract 2002,17031200200,5162,-87.7356282,41.9278523,12.465065,12.01015519,11.46143151,12.98101699,9.852909563,9.431593699,10.36002493,10.36002493,9.944784384,9.146989891
Census tract,Tract 2003,17031200300,2015,-87.7341264,41.9234806,12.484637,12.02290328,11.48255288,13.00859726,9.85479235,9.453439452,10.37623781,10.37623781,9.959504384,9.167169672
Census tract,Tract 2004.01,17031200401,3743,-87.7375419,41.9198285,12.493918,12.03418934,11.49421452,13.01236466,9.868852186,9.472870411,10.39476082,10.39476082,9.977895342,9.183547814
Census tract,Tract 2004.02,17031200402,4192,-87.7296789,41.9196348,12.51095,12.0263429,11.48978082,13.01249205,9.870668579,9.452143562,10.37553753,10.37553753,9.961431232876707,9.17473306
Census tract,Tract 2101,17031210100,4066,-87.7005442,41.9446571,12.437314,11.91670301,11.40326301,12.89957178,9.74150765,9.310947123,10.1868989,10.1868989,9.789629041095893,9.029532514
Census tract,Tract 2104,17031210400,2912,-87.7303057,41.935745,12.446001,11.98347678,11.44136658,12.94395123,9.823186066,9.403552329,10.30860904,10.30860904,9.895754794520553,9.107939617
Census tract,Tract 2105.01,17031210501,3555,-87.7223301,41.9374013,12.459077,11.96456311,11.43315205,12.9319474,9.79625082,9.38370137,10.2819137,10.2819137,9.866647671,9.091885246
