Local Site Name,Month_Year,monthly_value,Site Latitude,Site Longitude
COM ED MAINTENANCE BLDG,2011-01,34.0,41.7513999786378,-87.7134881520007
COM ED MAINTENANCE BLDG,2011-02,38.17857142857143,41.7513999786378,-87.7134881520007
COM ED MAINTENANCE BLDG,2011-03,32.58064516129032,41.7513999786378,-87.7134881520007
COM ED MAINTENANCE BLDG,2011-04,30.133333333333333,41.7513999786378,-87.7134881520007
COM ED MAINTENANCE BLDG,2011-05,27.838709677419356,41.7513999786378,-87.7134881520007
COM ED MAINTENANCE BLDG,2011-06,27.066666666666666,41.7513999786378,-87.7134881520007
COM ED MAINTENANCE BLDG,2011-07,30.1,41.7513999786378,-87.7134881520007
COM ED MAINTENANCE BLDG,2011-08,30.3,41.7513999786378,-87.7134881520007
COM ED MAINTENANCE BLDG,2011-09,23.833333333333332,41.7513999786378,-87.7134881520007
COM ED MAINTENANCE BLDG,2011-10,34.54838709677419,41.7513999786378,-87.7134881520007
COM ED MAINTENANCE BLDG,2011-11,24.925925925925927,41.7513999786378,-87.7134881520007
COM ED MAINTENANCE BLDG,2011-12,28.35483870967742,41.7513999786378,-87.7134881520007
COM ED MAINTENANCE BLDG,2012-01,35.645161290322584,41.7513999786378,-87.7134881520007
COM ED MAINTENANCE BLDG,2012-02,33.3448275862069,41.7513999786378,-87.7134881520007
COM ED MAINTENANCE BLDG,2012-03,25.806451612903224,41.7513999786378,-87.7134881520007
COM ED MAINTENANCE BLDG,2012-04,30.142857142857142,41.7513999786378,-87.7134881520007
COM ED MAINTENANCE BLDG,2012-05,29.516129032258064,41.7513999786378,-87.7134881520007
COM ED MAINTENANCE BLDG,2012-06,25.2,41.7513999786378,-87.7134881520007
COM ED MAINTENANCE BLDG,2012-07,38.785714285714285,41.7513999786378,-87.7134881520007
COM ED MAINTENANCE BLDG,2012-08,42.61290322580645,41.7513999786378,-87.7134881520007
COM ED MAINTENANCE BLDG,2012-09,25.6,41.7513999786378,-87.7134881520007
COM ED MAINTENANCE BLDG,2012-10,18.294117647058822,41.7513999786378,-87.7134881520007
COM ED MAINTENANCE BLDG,2012-11,24.433333333333334,41.7513999786378,-87.7134881520007
COM ED MAINTENANCE BLDG,2012-12,30.096774193548388,41.7513999786378,-87.7134881520007
COM ED MAINTENANCE BLDG,2013-01,29.774193548387096,41.7513999786378,-87.7134881520007
COM ED MAINTENANCE BLDG,2013-02,31.678571428571427,41.7513999786378,-87.7134881520007
COM ED MAINTENANCE BLDG,2013-03,32.29032258064516,41.7513999786378,-87.7134881520007
COM ED MAINTENANCE BLDG,2013-04,29.233333333333334,41.7513999786378,-87.7134881520007
COM ED MAINTENANCE BLDG,2013-05,34.645161290322584,41.7513999786378,-87.7134881520007
COM ED MAINTENANCE BLDG,2013-06,29.266666666666666,41.7513999786378,-87.7134881520007
COM ED MAINTENANCE BLDG,2013-07,20.387096774193548,41.7513999786378,-87.7134881520007
COM ED MAINTENANCE BLDG,2013-08,25.70967741935484,41.7513999786378,-87.7134881520007
COM ED MAINTENANCE BLDG,2013-09,27.48,41.7513999786378,-87.7134881520007
COM ED MAINTENANCE BLDG,2013-10,30.548387096774192,41.7513999786378,-87.7134881520007
COM ED MAINTENANCE BLDG,2013-11,24.2,41.7513999786378,-87.7134881520007
COM ED MAINTENANCE BLDG,2013-12,29.774193548387096,41.7513999786378,-87.7134881520007
COM ED MAINTENANCE BLDG,2014-01,35.29032258064516,41.7513999786378,-87.7134881520007
COM ED MAINTENANCE BLDG,2014-02,44.42857142857143,41.7513999786378,-87.7134881520007
COM ED MAINTENANCE BLDG,2014-03,39.13333333333333,41.7513999786378,-87.7134881520007
COM ED MAINTENANCE BLDG,2014-04,30.142857142857142,41.7513999786378,-87.7134881520007
COM ED MAINTENANCE BLDG,2014-05,23.774193548387096,41.7513999786378,-87.7134881520007
COM ED MAINTENANCE BLDG,2014-06,27.2,41.7513999786378,-87.7134881520007
COM ED MAINTENANCE BLDG,2014-07,23.47826086956522,41.7513999786378,-87.7134881520007
COM ED MAINTENANCE BLDG,2014-08,24.70967741935484,41.7513999786378,-87.7134881520007
COM ED MAINTENANCE BLDG,2014-09,28.833333333333332,41.7513999786378,-87.7134881520007
COM ED MAINTENANCE BLDG,2014-10,26.387096774193548,41.7513999786378,-87.7134881520007
COM ED MAINTENANCE BLDG,2014-11,22.133333333333333,41.7513999786378,-87.7134881520007
COM ED MAINTENANCE BLDG,2014-12,20.387096774193548,41.7513999786378,-87.7134881520007
COM ED MAINTENANCE BLDG,2015-01,28.483870967741936,41.7513999786378,-87.7134881520007
COM ED MAINTENANCE BLDG,2015-02,30.964285714285715,41.7513999786378,-87.7134881520007
COM ED MAINTENANCE BLDG,2015-03,29.70967741935484,41.7513999786378,-87.7134881520007
COM ED MAINTENANCE BLDG,2015-04,26.1,41.7513999786378,-87.7134881520007
COM ED MAINTENANCE BLDG,2015-05,23.516129032258064,41.7513999786378,-87.7134881520007
COM ED MAINTENANCE BLDG,2015-06,23.133333333333333,41.7513999786378,-87.7134881520007
COM ED MAINTENANCE BLDG,2015-07,21.70967741935484,41.7513999786378,-87.7134881520007
COM ED MAINTENANCE BLDG,2015-08,18.258064516129032,41.7513999786378,-87.7134881520007
COM ED MAINTENANCE BLDG,2015-09,22.066666666666666,41.7513999786378,-87.7134881520007
COM ED MAINTENANCE BLDG,2015-10,19.93548387096774,41.7513999786378,-87.7134881520007
COM ED MAINTENANCE BLDG,2015-11,22.533333333333335,41.7513999786378,-87.7134881520007
